Roll_No,Name,Result,Attendance,Assignment_Score,Project_Marks
64,Lalit Sharma,83.0,53.03,13,3
65,Nobita Verma,68.0,67.78,13,6
66,Simran Patel,86.0,57.65,11,8
67,Karan Yadav,,69.64,11,27
68,Rohit Singh,91.0,91.09,16,20
69,Kavita Patel,88.0,88.17,2,27
70,Vivek Yadav,43.0,72.92,16,18
71,Nobita Sharma,46.0,73.53,3,10
72,Nobita Singh,84.0,96.84,13,14
73,Kavita Verma,51.0,81.24,0,26
74,Sneha Verma,89.0,53.96,14,16
75,Sneha Patel,61.0,96.92,15,25
76,Sahil Yadav,49.0,60.71,20,25
77,Simran Yadav,65.0,75.43,2,29
78,Priya Singh,,68.71,9,4
79,Harsh Sharma,57.0,69.67,18,8
80,Shichan Sharma,53.0,69.69,17,22
81,Sartak Verma,79.0,86.2,2,5
82,Kavita Verma,56.0,77.59,5,12
83,Rohit Sharma,56.0,66.3,7,9
84,Rohit Singh,,77.06,6,29
85,Sartak Gupta,43.0,52.48,6,18
86,Kunal Yadav,52.0,61.62,8,15
87,Kunal Yadav,44.0,68.06,5,7
88,Sartak Yadav,71.0,98.83,12,19
89,Prince Patel,53.0,85.35,9,15
90,Shichan Patel,83.0,69.73,13,7
91,Rahul Singh,95.0,67.3,0,17
92,Vivek Verma,58.0,90.31,11,0
93,Aditya Sharma,96.0,63.6,12,30
94,Lalit Singh,89.0,51.6,12,22
95,Harsh Sharma,85.0,65.75,10,5
96,Prince Singh,81.0,95.07,3,6
97,Krishna Gupta,67.0,82.9,14,28
98,Anjali Verma,61.0,81.42,16,29
99,Lalit Sharma,93.0,69.82,2,3
100,Raj Patel,69.0,80.04,3,14
101,Aditya Yadav,55.0,69.38,19,1
102,Sahil Sharma,70.0,97.31,19,14
103,Lalit Singh,89.0,86.74,9,23
104,Sneha Gupta,69.0,61.36,4,3
105,Ankit Sharma,92.0,52.41,11,14
106,Rohit Patel,76.0,50.87,7,0
107,Lalit Singh,60.0,80.37,4,25
108,Anjali Verma,72.0,94.45,6,26
109,Sartak Yadav,72.0,87.15,19,25
110,Raj Sharma,52.0,52.42,13,14
111,Akash Yadav,51.0,69.36,11,8
112,Aditya Singh,59.0,77.37,2,22
113,Raj Patel,56.0,87.8,13,5
114,Kunal Patel,,91.49,12,16
115,Anjali Patel,43.0,56.08,17,12
116,Shichan Yadav,91.0,81.95,14,29
117,Anjali Gupta,,82.6,6,30
118,Aman Patel,97.0,72.88,2,8
119,Sneha Yadav,71.0,72.22,2,10
120,Aditya Gupta,49.0,81.68,17,1
121,Nobita Patel,,73.14,2,28
122,Prince Singh,73.0,60.19,19,4
123,Rahul Patel,83.0,89.89,5,11
124,Kunal Patel,75.0,54.46,10,17
125,Harsh Singh,82.0,89.73,13,11
126,Ankit Patel,98.0,85.57,20,4
127,Raj Singh,66.0,81.22,15,18
128,Lalit Yadav,90.0,56.53,18,23
129,Rahul Patel,51.0,60.71,4,24
130,Sartak Singh,60.0,62.58,14,13
131,Shichan Sharma,61.0,82.0,5,17
132,Sartak Verma,,71.57,15,20
133,Aditya Yadav,63.0,67.91,0,0
134,Sahil Yadav,73.0,55.59,18,20
135,Anjali Yadav,55.0,60.18,14,20
136,Aditya Gupta,,63.11,20,29
137,Sahil Patel,59.0,74.98,14,23
138,Krishna Verma,,77.21,5,8
139,Shichan Sharma,67.0,89.7,13,7
140,Kavita Verma,57.0,52.72,20,19
141,Aman Gupta,55.0,78.14,10,1
142,Priya Patel,50.0,57.1,13,25
143,Sahil Singh,56.0,83.47,17,29
144,Lalit Yadav,95.0,58.56,11,14
145,Kavita Sharma,91.0,92.75,5,25
146,Lalit Yadav,98.0,54.93,14,22
147,Rahul Gupta,75.0,90.53,18,3
148,Ritika Yadav,65.0,66.38,15,27
149,Ankit Verma,57.0,52.96,7,29
150,Rahul Sharma,62.0,91.5,7,17
151,Sartak Yadav,77.0,81.82,19,9
152,Rohit Verma,89.0,92.61,19,22
153,Sahil Gupta,83.0,99.65,4,28
154,Harsh Gupta,,77.53,7,13
155,Krishna Yadav,52.0,58.2,2,1
156,Simran Sharma,43.0,67.91,3,22
157,Karan Verma,53.0,66.33,6,15
158,Anjali Yadav,86.0,55.88,17,4
159,Aditya Yadav,81.0,96.15,2,14
160,Simran Patel,69.0,69.98,8,6
161,Sahil Verma,,72.05,11,2
162,Ankit Gupta,62.0,50.94,2,22
163,Harsh Patel,62.0,80.93,9,6
164,Harsh Sharma,76.0,83.5,16,26
165,Rohit Singh,79.0,55.21,15,7
166,Simran Sharma,75.0,70.55,3,30
167,Meena Patel,69.0,88.56,17,14
168,Akash Gupta,93.0,91.86,11,18
169,Kunal Singh,43.0,90.77,0,10
170,Sartak Gupta,99.0,67.15,0,22
171,Aditya Gupta,83.0,79.41,17,3
172,Raj Verma,74.0,81.11,8,0
173,Vivek Sharma,69.0,83.94,12,21
174,Krishna Patel,74.0,83.25,6,10
175,Raj Verma,42.0,73.8,15,21
176,Simran Singh,99.0,71.98,16,15
177,Sahil Gupta,85.0,70.7,10,18
178,Kunal Singh,67.0,58.41,20,17
179,Harsh Yadav,83.0,96.37,9,24
180,Simran Yadav,60.0,99.03,0,28
181,Sahil Patel,95.0,77.75,11,2
182,Simran Gupta,94.0,79.96,6,5
183,Kavita Singh,58.0,52.53,6,1
184,Sartak Patel,47.0,72.27,2,7
185,Nobita Gupta,74.0,79.85,4,26
186,Kavita Sharma,49.0,70.06,7,27
187,Meena Verma,60.0,55.86,8,3
188,Rohit Yadav,54.0,78.51,2,22
189,Aman Sharma,67.0,59.79,0,20
190,Simran Gupta,79.0,72.9,7,23
191,Karan Verma,47.0,98.8,11,8
192,Sahil Sharma,42.0,75.45,6,19
193,Krishna Yadav,40.0,72.86,0,25
194,Akash Sharma,91.0,72.15,15,7
195,Simran Gupta,64.0,94.26,7,5
196,Meena Singh,66.0,93.68,15,22
197,Vivek Verma,65.0,77.81,0,4
198,Simran Gupta,81.0,79.76,4,3
199,Meena Verma,40.0,68.88,6,14
200,Akash Verma,72.0,88.58,9,5
201,Krishna Patel,83.0,71.84,14,14
202,Kunal Gupta,57.0,52.89,13,5
203,Prince Verma,89.0,73.02,15,19
204,Meena Singh,,77.44,11,16
205,Priya Gupta,60.0,75.8,11,24
206,Simran Verma,78.0,61.48,1,14
207,Meena Patel,61.0,61.85,1,15
208,Kavita Verma,78.0,55.71,14,22
209,Meena Patel,79.0,87.72,0,23
210,Akash Verma,41.0,51.56,19,22
211,Aditya Yadav,43.0,90.5,17,5
212,Kavita Verma,55.0,72.53,15,17
213,Shichan Singh,83.0,55.03,12,3
214,Rohit Singh,70.0,71.43,18,20
215,Sneha Singh,50.0,57.28,1,20
216,Krishna Yadav,41.0,89.93,12,29
217,Ankit Sharma,44.0,53.86,7,3
218,Priya Patel,60.0,59.18,2,13
219,Ankit Gupta,99.0,54.6,14,9
220,Ankit Yadav,56.0,77.8,16,4
221,Rahul Verma,,83.73,9,14
222,Ritika Yadav,90.0,68.24,1,28
223,Vivek Sharma,51.0,69.31,8,21
224,Ankit Singh,72.0,81.85,12,4
225,Ritika Gupta,85.0,50.66,13,0
226,Nobita Yadav,81.0,70.03,0,13
227,Priya Verma,59.0,56.56,3,14
228,Sneha Gupta,51.0,66.99,19,27
229,Aman Patel,90.0,66.93,19,23
230,Kavita Verma,63.0,89.81,18,30
231,Sartak Yadav,87.0,53.76,6,7
232,Lalit Singh,70.0,53.2,11,12
233,Prince Sharma,47.0,85.64,10,0
234,Kunal Yadav,47.0,52.84,3,24
235,Aman Singh,52.0,90.27,13,9
236,Priya Yadav,91.0,87.04,14,10
237,Kavita Patel,80.0,62.59,2,2
238,Ritika Yadav,75.0,70.29,1,5
239,Rohit Gupta,50.0,66.18,5,23
240,Shichan Gupta,99.0,96.24,12,15
241,Prince Singh,45.0,50.75,2,17
242,Meena Sharma,67.0,65.03,15,15
243,Kunal Gupta,,66.69,19,20
244,Ritika Patel,45.0,73.92,16,9
245,Krishna Gupta,50.0,62.37,20,25
246,Rahul Sharma,45.0,85.15,9,11
247,Sartak Yadav,73.0,52.81,4,1
248,Krishna Sharma,46.0,76.02,9,30
249,Vivek Patel,98.0,66.26,15,12
250,Raj Yadav,51.0,75.79,16,4
251,Shichan Verma,44.0,53.0,7,1
252,Akash Sharma,53.0,54.29,11,22
253,Rohit Yadav,54.0,85.86,12,4
254,Raj Yadav,43.0,81.79,18,30
255,Sahil Verma,77.0,72.95,1,13
256,Akash Verma,88.0,76.34,3,9
257,Prince Singh,59.0,65.39,17,12
258,Kunal Verma,96.0,77.93,5,16
259,Kunal Sharma,56.0,92.53,15,22
260,Meena Gupta,55.0,92.1,4,24
261,Raj Verma,92.0,95.55,7,20
262,Kavita Verma,49.0,60.44,19,26
263,Akash Gupta,77.0,79.79,6,1
264,Aditya Verma,81.0,78.24,3,1
265,Raj Singh,90.0,59.79,6,12
266,Sartak Yadav,76.0,55.28,8,29
267,Aditya Gupta,73.0,71.36,8,16
268,Raj Patel,57.0,68.18,20,18
269,Meena Patel,87.0,98.18,18,0
270,Priya Singh,58.0,64.99,19,18
271,Ankit Sharma,80.0,87.32,9,21
272,Shichan Sharma,55.0,75.2,19,13
273,Anjali Gupta,89.0,94.3,18,4
274,Sneha Yadav,,67.6,14,22
275,Rahul Patel,,82.93,8,29
276,Rahul Singh,47.0,88.14,1,8
277,Sneha Gupta,72.0,86.86,0,5
278,Prince Verma,58.0,55.13,2,6
279,Vivek Verma,63.0,92.44,4,12
280,Sneha Singh,98.0,76.03,2,16
281,Aman Verma,,85.9,7,0
282,Sahil Verma,53.0,72.19,19,28
283,Anjali Gupta,40.0,97.97,18,9
284,Ankit Sharma,50.0,82.52,7,16
285,Rohit Patel,40.0,95.05,8,14
286,Shichan Sharma,76.0,50.43,2,5
287,Vivek Sharma,,61.95,1,21
288,Raj Singh,44.0,61.02,0,5
289,Nobita Sharma,,56.87,16,12
290,Kunal Gupta,46.0,52.07,2,22
291,Rahul Gupta,95.0,89.73,18,9
292,Kunal Sharma,94.0,95.86,0,23
293,Rahul Verma,50.0,95.24,0,25
294,Priya Gupta,64.0,67.25,18,25
295,Rahul Singh,59.0,87.88,7,4
296,Rohit Sharma,97.0,99.25,8,6
297,Shichan Yadav,68.0,77.14,11,19
298,Rahul Gupta,52.0,75.93,8,14
299,Akash Singh,,91.78,14,22
300,Aman Verma,66.0,58.43,16,29
301,Rohit Yadav,,98.67,5,13
302,Prince Patel,67.0,57.26,20,28
303,Anjali Singh,54.0,97.81,9,15
304,Raj Singh,90.0,72.99,12,19
305,Aman Verma,46.0,55.53,17,23
306,Raj Sharma,63.0,54.77,14,16
307,Krishna Patel,81.0,84.71,16,18
308,Sahil Gupta,80.0,75.46,13,13
309,Akash Sharma,54.0,67.47,12,24
310,Shichan Yadav,53.0,81.34,5,7
311,Aditya Verma,93.0,85.5,12,23
312,Kavita Gupta,,54.44,5,11
313,Sahil Singh,77.0,98.94,15,1
314,Raj Patel,68.0,75.2,2,24
315,Meena Verma,45.0,58.7,6,30
316,Priya Patel,64.0,59.25,18,14
317,Nobita Gupta,57.0,55.77,20,4
318,Prince Singh,45.0,96.38,6,19
319,Raj Verma,84.0,77.17,17,21
320,Meena Singh,51.0,99.84,11,24
321,Lalit Gupta,58.0,89.82,3,2
322,Karan Gupta,52.0,76.13,19,12
323,Shichan Gupta,43.0,74.59,19,13
324,Aditya Gupta,100.0,86.09,17,11
325,Ritika Sharma,82.0,52.11,1,19
326,Aman Verma,84.0,60.13,11,9
327,Ankit Gupta,93.0,83.74,16,12
328,Rahul Gupta,,56.54,14,27
329,Harsh Gupta,59.0,96.62,14,7
330,Krishna Verma,57.0,86.29,8,30
331,Priya Patel,94.0,73.35,19,3
332,Raj Gupta,51.0,62.48,19,16
333,Kunal Singh,66.0,74.13,2,23
334,Krishna Patel,63.0,87.01,19,3
335,Anjali Yadav,94.0,57.27,17,23
336,Simran Patel,90.0,85.01,14,9
337,Vivek Verma,72.0,80.07,16,1
338,Prince Patel,98.0,57.23,8,24
339,Nobita Yadav,98.0,90.55,1,26
340,Harsh Yadav,50.0,58.27,19,26
341,Nobita Patel,60.0,88.99,12,10
342,Krishna Gupta,64.0,77.3,2,29
343,Shichan Singh,40.0,72.46,16,21
344,Rohit Yadav,57.0,65.91,14,28
345,Ankit Singh,85.0,95.37,2,27
346,Akash Yadav,66.0,51.9,12,12
347,Rahul Singh,56.0,78.73,15,8
348,Kunal Patel,,65.47,3,9
349,Meena Sharma,56.0,65.38,19,7
350,Meena Yadav,52.0,89.88,11,6
351,Akash Sharma,72.0,62.83,5,17
352,Prince Verma,100.0,82.57,11,2
353,Vivek Verma,53.0,67.47,11,21
354,Vivek Gupta,94.0,84.38,6,9
355,Akash Gupta,93.0,74.59,20,0
356,Sneha Verma,,72.94,14,16
357,Vivek Singh,60.0,57.13,6,4
358,Aman Patel,80.0,94.78,4,29
359,Lalit Gupta,84.0,81.34,9,20
360,Karan Sharma,57.0,53.88,7,10
361,Priya Verma,51.0,59.88,5,25
362,Rohit Verma,84.0,79.08,11,25
363,Kunal Yadav,85.0,74.37,12,30
364,Karan Yadav,90.0,72.18,2,14
365,Meena Patel,49.0,61.4,2,28
366,Nobita Gupta,46.0,57.36,4,7
367,Nobita Singh,59.0,93.15,1,22
368,Lalit Sharma,72.0,99.65,19,28
369,Sartak Patel,73.0,69.36,14,3
370,Simran Verma,58.0,96.46,3,14
371,Lalit Sharma,76.0,69.25,20,15
372,Krishna Sharma,64.0,94.62,8,3
373,Aditya Patel,,74.7,19,16
374,Krishna Singh,,50.17,19,3
375,Ritika Yadav,,61.86,9,21
376,Akash Verma,,50.94,4,17
377,Sneha Sharma,94.0,51.7,8,20
378,Shichan Gupta,100.0,58.4,18,26
379,Sartak Sharma,93.0,86.23,16,17
380,Kunal Gupta,44.0,62.88,3,20
381,Meena Patel,74.0,87.61,7,26
382,Sartak Verma,67.0,57.08,0,18
383,Kunal Verma,99.0,51.99,8,18
384,Simran Gupta,80.0,64.78,14,20
385,Shichan Verma,53.0,52.23,13,9
386,Kavita Patel,65.0,84.71,6,28
387,Lalit Gupta,40.0,71.86,0,14
388,Sartak Singh,87.0,59.22,17,24
389,Lalit Verma,44.0,51.77,12,7
390,Aman Sharma,40.0,88.9,17,1
391,Harsh Patel,61.0,53.17,4,11
392,Sneha Sharma,96.0,83.68,15,26
393,Harsh Gupta,93.0,71.49,0,15
394,Karan Patel,80.0,76.31,14,27
395,Krishna Singh,67.0,91.12,12,29
396,Aditya Yadav,78.0,55.59,17,8
397,Rahul Gupta,84.0,60.4,20,17
398,Rahul Sharma,63.0,91.04,18,14
399,Shichan Patel,75.0,50.1,8,11
400,Meena Verma,67.0,56.89,1,25
401,Lalit Gupta,60.0,71.21,4,6
402,Nobita Patel,68.0,99.62,12,22
403,Sahil Sharma,83.0,51.93,15,14
404,Sartak Sharma,56.0,64.01,14,14
405,Karan Sharma,58.0,59.95,8,30
406,Kunal Gupta,63.0,60.14,8,5
407,Ankit Verma,76.0,65.32,8,8
408,Harsh Verma,82.0,81.53,3,10
409,Karan Verma,61.0,79.14,12,2
410,Priya Sharma,47.0,71.84,2,24
411,Ritika Sharma,56.0,83.35,17,8
412,Aman Singh,63.0,87.43,19,15
413,Nobita Singh,46.0,73.45,2,21
414,Lalit Sharma,57.0,54.74,3,0
415,Rohit Sharma,94.0,85.19,16,16
416,Shichan Yadav,,78.19,9,20
417,Sartak Yadav,59.0,65.91,2,24
418,Aditya Verma,91.0,51.57,17,2
419,Harsh Patel,62.0,61.72,9,6
420,Krishna Verma,42.0,68.48,12,22
421,Ritika Patel,61.0,83.04,9,1
422,Ankit Singh,,70.51,11,21
423,Ritika Gupta,93.0,60.32,9,25
424,Akash Verma,41.0,50.84,14,23
425,Prince Sharma,85.0,71.6,16,23
426,Ankit Sharma,66.0,77.48,10,26
427,Sahil Sharma,70.0,72.66,19,8
428,Meena Gupta,43.0,69.08,4,27
429,Priya Singh,90.0,50.22,6,27
430,Nobita Singh,97.0,51.93,3,13
431,Ankit Patel,86.0,82.52,13,0
432,Krishna Singh,94.0,69.03,17,0
433,Simran Gupta,40.0,78.02,11,24
434,Rahul Yadav,69.0,51.55,17,27
435,Prince Yadav,73.0,60.05,16,6
436,Priya Singh,85.0,76.45,0,20
437,Anjali Singh,85.0,64.75,5,24
438,Prince Sharma,85.0,91.07,5,30
439,Prince Gupta,57.0,81.28,14,19
440,Raj Sharma,66.0,77.94,10,2
441,Aditya Sharma,40.0,79.27,8,14
442,Aditya Sharma,84.0,93.39,9,24
443,Prince Verma,56.0,69.05,2,15
444,Raj Yadav,90.0,92.74,20,16
445,Kunal Verma,79.0,65.59,11,27
446,Ankit Patel,77.0,53.22,12,27
447,Aman Singh,47.0,71.79,14,13
448,Prince Gupta,51.0,74.36,15,24
449,Priya Gupta,51.0,53.39,0,1
450,Harsh Patel,53.0,73.44,13,8
451,Rahul Yadav,69.0,96.51,7,26
452,Kavita Yadav,80.0,80.25,8,16
453,Prince Singh,62.0,58.21,5,17
454,Sneha Sharma,99.0,84.56,18,11
455,Rahul Singh,91.0,81.7,7,26
456,Rahul Yadav,90.0,58.63,0,21
457,Rahul Sharma,64.0,84.27,18,1
458,Karan Patel,,50.58,11,24
459,Sartak Verma,86.0,91.04,1,26
460,Lalit Singh,77.0,99.44,10,14
461,Rohit Yadav,72.0,60.86,8,23
462,Raj Yadav,62.0,93.29,4,1
463,Meena Yadav,78.0,81.45,1,19
464,Meena Sharma,97.0,94.76,1,8
465,Rohit Singh,,82.18,20,19
466,Lalit Sharma,74.0,63.92,9,18
467,Kunal Gupta,80.0,82.71,6,12
468,Krishna Patel,77.0,75.84,16,22
469,Rahul Patel,62.0,97.33,18,5
470,Karan Verma,47.0,94.2,10,21
471,Rohit Gupta,73.0,87.59,7,16
472,Kunal Yadav,71.0,76.07,13,21
473,Karan Verma,67.0,79.94,19,28
474,Lalit Sharma,76.0,68.03,10,15
475,Sneha Sharma,43.0,97.13,7,18
476,Meena Singh,48.0,90.87,6,0
477,Meena Singh,89.0,95.84,14,21
478,Krishna Sharma,47.0,72.98,16,7
479,Akash Yadav,54.0,76.08,0,21
480,Prince Yadav,44.0,76.01,5,24
481,Nobita Sharma,71.0,77.9,10,14
482,Shichan Patel,56.0,57.19,17,30
483,Kunal Verma,69.0,82.46,4,20
484,Kavita Singh,97.0,66.5,1,19
485,Simran Singh,41.0,51.92,13,29
486,Harsh Yadav,71.0,77.17,5,12
487,Meena Verma,59.0,88.62,3,19
488,Akash Singh,69.0,93.22,4,6
489,Aditya Gupta,72.0,84.83,15,0
490,Nobita Patel,66.0,91.79,5,21
491,Nobita Singh,66.0,93.57,3,6
492,Sneha Sharma,55.0,81.61,12,6
493,Sartak Yadav,44.0,72.3,17,14
494,Meena Gupta,85.0,98.12,7,12
495,Rohit Sharma,71.0,98.09,19,7
496,Prince Sharma,,94.73,10,19
497,Kavita Gupta,74.0,66.32,18,12
498,Shichan Singh,45.0,82.38,19,12
499,Krishna Yadav,85.0,80.12,20,17
500,Anjali Sharma,79.0,78.38,13,5
501,Aman Verma,99.0,62.62,1,7
502,Karan Sharma,,87.57,16,13
503,Rahul Patel,90.0,80.67,4,23
504,Kunal Sharma,85.0,97.83,9,6
505,Rohit Patel,,62.36,16,28
506,Krishna Yadav,92.0,77.21,8,3
507,Akash Singh,73.0,94.49,7,27
508,Ankit Patel,89.0,94.25,13,29
509,Prince Verma,88.0,93.83,13,13
510,Meena Gupta,84.0,51.82,14,27
511,Simran Gupta,69.0,88.41,17,8
512,Vivek Gupta,74.0,80.62,15,1
513,Rohit Gupta,88.0,84.2,5,20
514,Sahil Gupta,62.0,52.65,16,11
515,Vivek Gupta,60.0,86.89,11,30
516,Sneha Verma,99.0,91.45,14,7
517,Harsh Yadav,41.0,97.31,13,15
518,Shichan Gupta,,98.65,4,28
519,Shichan Singh,100.0,66.49,3,18
520,Priya Singh,76.0,76.43,11,17
521,Aditya Yadav,73.0,94.88,11,24
522,Shichan Singh,61.0,58.74,16,22
523,Harsh Yadav,44.0,67.02,20,0
524,Kavita Yadav,,64.53,19,30
525,Nobita Verma,45.0,67.78,17,23
526,Sartak Singh,42.0,90.34,1,8
527,Sartak Patel,,85.77,5,14
528,Lalit Yadav,,87.04,14,28
529,Vivek Singh,48.0,69.6,11,30
530,Shichan Gupta,67.0,52.73,3,19
531,Priya Verma,62.0,94.32,5,9
532,Aman Patel,63.0,76.94,19,24
533,Meena Sharma,41.0,90.43,16,29
534,Akash Singh,87.0,85.72,18,14
535,Kunal Patel,63.0,73.18,19,12
536,Ankit Singh,60.0,80.67,8,11
537,Sahil Sharma,56.0,61.64,7,27
538,Meena Verma,,59.09,4,5
539,Sartak Yadav,99.0,74.3,1,14
540,Rohit Singh,,94.2,14,12
541,Priya Verma,61.0,66.43,0,15
542,Prince Singh,75.0,90.57,11,14
543,Sahil Patel,100.0,55.97,17,28
544,Harsh Singh,78.0,77.29,18,24
545,Sartak Patel,65.0,84.68,13,10
546,Lalit Patel,76.0,94.48,10,20
547,Rohit Patel,53.0,65.65,4,28
548,Akash Patel,89.0,62.65,5,23
549,Prince Patel,68.0,68.25,0,26
550,Aditya Yadav,93.0,73.3,3,30
551,Sahil Yadav,86.0,73.04,18,21
552,Ritika Verma,,54.71,13,19
553,Kavita Gupta,97.0,55.89,5,22
554,Shichan Singh,70.0,63.51,20,18
555,Nobita Patel,84.0,93.39,11,9
556,Akash Yadav,92.0,89.24,18,10
557,Ankit Yadav,50.0,88.94,20,19
558,Prince Singh,89.0,60.98,20,27
559,Rohit Sharma,48.0,78.02,6,27
560,Shichan Yadav,40.0,85.68,8,17
561,Anjali Patel,93.0,79.43,13,12
562,Rahul Patel,47.0,53.84,16,6
563,Nobita Sharma,60.0,96.42,20,21
564,Anjali Sharma,43.0,61.8,3,10
565,Shichan Patel,40.0,98.92,2,14
566,Aditya Sharma,56.0,86.95,3,29
567,Anjali Yadav,72.0,91.11,9,17
568,Ankit Patel,66.0,60.32,18,25
569,Raj Singh,100.0,96.25,15,25
570,Harsh Sharma,40.0,77.85,13,26
571,Sahil Sharma,40.0,82.14,5,27
572,Priya Patel,96.0,84.22,18,8
573,Ritika Verma,66.0,91.11,15,24
574,Akash Gupta,85.0,66.03,4,27
575,Ankit Singh,82.0,50.66,11,7
576,Akash Gupta,77.0,60.75,18,3
577,Sartak Patel,75.0,93.32,17,11
578,Karan Verma,85.0,57.19,1,3
579,Nobita Sharma,70.0,87.02,14,15
580,Sneha Sharma,44.0,87.66,14,16
581,Vivek Yadav,48.0,73.33,11,23
582,Meena Sharma,80.0,92.42,0,7
583,Sartak Gupta,,84.41,4,1
584,Kavita Verma,55.0,64.01,17,4
585,Kavita Yadav,,82.05,14,14
586,Sneha Yadav,56.0,50.42,12,23
587,Nobita Singh,57.0,61.85,12,28
588,Rahul Patel,,64.67,13,4
589,Nobita Yadav,82.0,87.16,3,2
590,Nobita Yadav,83.0,70.53,1,15
591,Sartak Sharma,46.0,88.13,14,28
592,Ritika Singh,80.0,58.34,7,10
593,Shichan Sharma,70.0,97.08,10,17
594,Raj Patel,,52.3,17,13
595,Simran Singh,88.0,55.1,8,8
596,Kavita Verma,61.0,52.32,0,11
597,Ankit Singh,62.0,69.71,19,1
598,Krishna Yadav,92.0,72.47,15,6
599,Rohit Singh,61.0,76.08,17,8
600,Rohit Yadav,74.0,59.2,17,24
601,Nobita Verma,46.0,58.14,18,10
602,Priya Singh,89.0,87.33,0,6
603,Lalit Verma,88.0,61.38,2,6
604,Rahul Gupta,52.0,66.09,20,2
605,Meena Verma,99.0,80.96,8,27
606,Rohit Gupta,88.0,75.84,5,27
607,Sartak Patel,51.0,95.97,5,16
608,Krishna Verma,40.0,98.59,3,21
609,Simran Gupta,73.0,88.69,9,0
610,Rahul Singh,93.0,71.97,15,17
611,Krishna Patel,58.0,55.16,14,3
612,Raj Verma,64.0,90.47,0,8
613,Nobita Patel,89.0,73.37,2,13
614,Sartak Sharma,73.0,93.73,14,3
615,Sartak Yadav,85.0,73.2,15,13
616,Kavita Yadav,86.0,56.51,12,14
617,Kunal Gupta,79.0,79.18,14,11
618,Simran Singh,94.0,51.92,10,18
619,Akash Verma,55.0,69.03,2,12
620,Lalit Verma,85.0,53.03,12,24
621,Ankit Sharma,95.0,58.29,12,25
622,Sartak Sharma,84.0,94.5,19,11
623,Kavita Patel,91.0,86.64,9,8
624,Priya Yadav,41.0,61.88,1,22
625,Akash Gupta,92.0,73.36,16,18
626,Prince Patel,51.0,54.03,12,2
627,Sartak Gupta,59.0,55.32,14,3
628,Vivek Yadav,85.0,81.35,16,6
629,Shichan Singh,83.0,59.16,18,9
630,Lalit Patel,,55.18,14,6
631,Kavita Sharma,57.0,86.57,16,0
632,Simran Sharma,89.0,63.62,1,19
633,Simran Yadav,64.0,69.77,14,9
634,Harsh Gupta,41.0,89.45,17,2
