Roll_No,Name,Result
186,Krishna Patel,76.0
187,Priya Patel,87.0
188,Nobita Verma,66.0
189,Prince Gupta,49.0
190,Sneha Patel,84.0
191,Lalit Singh,79.0
192,Priya Sharma,87.0
193,Rahul Gupta,92.0
194,Meena Singh,70.0
195,Sneha Gupta,67.0
196,Sneha Verma,53.0
197,Karan Singh,99.0
198,Sahil Gupta,73.0
199,Prince Yadav,70.0
200,Kavita Verma,
201,Nobita Verma,95.0
202,Nobita Verma,65.0
203,Prince Sharma,64.0
204,Sneha Yadav,45.0
205,Lalit Yadav,73.0
206,Shichan Yadav,64.0
207,Raj Gupta,75.0
208,Rohit Sharma,96.0
209,Akash Yadav,88.0
210,Anjali Gupta,94.0
211,Vivek Gupta,43.0
212,Meena Yadav,80.0
213,Nobita Sharma,84.0
214,Harsh Verma,82.0
215,Akash Patel,80.0
216,Vivek Singh,83.0
217,Nobita Singh,85.0
218,Meena Singh,69.0
219,Lalit Gupta,
220,Harsh Gupta,75.0
221,Harsh Verma,68.0
222,Aditya Gupta,75.0
223,Aditya Sharma,99.0
224,Akash Sharma,46.0
225,Shichan Sharma,80.0
226,Sneha Yadav,75.0
227,Aman Patel,48.0
228,Vivek Sharma,
229,Harsh Yadav,
230,Harsh Sharma,64.0
231,Aman Sharma,61.0
232,Sneha Verma,56.0
233,Meena Verma,65.0
234,Kavita Patel,44.0
235,Vivek Gupta,70.0
236,Kunal Yadav,100.0
237,Nobita Gupta,85.0
238,Kunal Verma,55.0
239,Ritika Singh,75.0
240,Aman Singh,60.0
241,Akash Yadav,54.0
242,Krishna Singh,46.0
243,Kavita Patel,46.0
244,Kunal Yadav,74.0
245,Kunal Patel,60.0
246,Meena Sharma,86.0
247,Sneha Verma,54.0
248,Nobita Sharma,43.0
249,Nobita Verma,67.0
250,Vivek Verma,51.0
251,Ritika Yadav,47.0
252,Ankit Patel,55.0
253,Vivek Patel,51.0
254,Harsh Singh,94.0
255,Kunal Patel,83.0
256,Kavita Gupta,60.0
257,Krishna Sharma,43.0
258,Akash Singh,80.0
259,Ankit Singh,55.0
260,Akash Verma,
261,Lalit Verma,90.0
262,Karan Patel,60.0
263,Kavita Gupta,73.0
264,Anjali Sharma,46.0
265,Sahil Patel,97.0
266,Raj Verma,98.0
267,Shichan Patel,55.0
268,Sartak Singh,95.0
269,Ritika Gupta,61.0
270,Sahil Yadav,72.0
271,Kunal Gupta,51.0
272,Priya Gupta,86.0
273,Raj Sharma,85.0
274,Ankit Singh,87.0
275,Sahil Yadav,95.0
276,Prince Sharma,79.0
277,Krishna Singh,65.0
278,Rohit Yadav,86.0
279,Rahul Verma,45.0
280,Sahil Patel,53.0
281,Aditya Yadav,66.0
282,Aman Gupta,64.0
283,Sahil Yadav,68.0
284,Akash Patel,72.0
285,Harsh Singh,60.0
286,Sneha Sharma,96.0
287,Raj Sharma,53.0
288,Rohit Verma,88.0
289,Kavita Patel,56.0
290,Harsh Singh,79.0
291,Lalit Singh,65.0
292,Vivek Patel,52.0
293,Ritika Verma,95.0
294,Vivek Singh,42.0
295,Rohit Gupta,62.0
296,Raj Sharma,80.0
297,Aman Verma,46.0
298,Sartak Sharma,48.0
299,Rohit Yadav,
300,Simran Sharma,64.0
301,Sahil Singh,83.0
302,Nobita Gupta,68.0
303,Aditya Yadav,71.0
304,Sahil Gupta,70.0
305,Nobita Yadav,76.0
306,Anjali Sharma,84.0
307,Sneha Patel,60.0
308,Krishna Verma,62.0
309,Sneha Yadav,47.0
310,Akash Sharma,69.0
311,Sneha Patel,99.0
312,Aditya Patel,69.0
313,Anjali Sharma,44.0
314,Kunal Singh,40.0
315,Sneha Singh,42.0
316,Rahul Patel,49.0
317,Ankit Singh,70.0
318,Meena Yadav,46.0
319,Priya Singh,41.0
320,Sneha Verma,53.0
321,Simran Gupta,96.0
322,Raj Gupta,89.0
323,Vivek Patel,49.0
324,Priya Gupta,64.0
325,Vivek Gupta,83.0
326,Karan Yadav,54.0
327,Meena Patel,83.0
328,Shichan Patel,41.0
329,Anjali Gupta,53.0
330,Sahil Patel,42.0
331,Rahul Verma,41.0
332,Kunal Gupta,90.0
333,Prince Yadav,47.0
334,Prince Verma,
335,Meena Verma,92.0
336,Raj Gupta,98.0
337,Rohit Sharma,54.0
338,Harsh Singh,51.0
339,Meena Verma,55.0
340,Rahul Sharma,59.0
341,Prince Singh,96.0
342,Priya Sharma,90.0
343,Sneha Patel,56.0
344,Akash Verma,43.0
345,Kunal Patel,93.0
346,Aman Patel,49.0
347,Sneha Verma,85.0
348,Karan Verma,95.0
349,Aditya Sharma,
350,Akash Gupta,71.0
351,Kavita Verma,66.0
352,Harsh Verma,42.0
353,Harsh Verma,61.0
354,Lalit Patel,55.0
355,Harsh Yadav,87.0
356,Karan Patel,58.0
357,Rahul Gupta,47.0
358,Raj Sharma,99.0
359,Prince Sharma,40.0
360,Harsh Sharma,40.0
361,Rohit Sharma,89.0
362,Akash Yadav,99.0
363,Krishna Gupta,57.0
364,Anjali Patel,65.0
365,Rohit Singh,51.0
366,Priya Verma,
367,Shichan Verma,62.0
368,Prince Singh,89.0
369,Rohit Sharma,63.0
370,Kunal Gupta,81.0
371,Sahil Sharma,89.0
372,Priya Singh,63.0
373,Akash Patel,88.0
374,Lalit Patel,90.0
375,Priya Patel,67.0
376,Simran Verma,98.0
377,Sneha Verma,86.0
378,Sneha Gupta,53.0
379,Meena Yadav,42.0
380,Harsh Verma,87.0
381,Ankit Yadav,88.0
382,Sahil Yadav,67.0
383,Ankit Sharma,86.0
384,Raj Yadav,
385,Aditya Patel,69.0
386,Sahil Singh,55.0
387,Simran Sharma,53.0
388,Aditya Patel,76.0
389,Anjali Gupta,78.0
390,Ritika Patel,93.0
391,Rahul Verma,82.0
392,Raj Gupta,59.0
393,Aman Yadav,88.0
394,Raj Sharma,53.0
395,Meena Yadav,
396,Sahil Gupta,45.0
397,Aman Patel,96.0
398,Vivek Patel,86.0
399,Aman Singh,96.0
400,Sneha Yadav,
401,Vivek Sharma,51.0
402,Sneha Singh,51.0
403,Kavita Verma,63.0
404,Priya Patel,49.0
405,Nobita Verma,50.0
406,Rohit Singh,97.0
407,Kavita Patel,87.0
408,Sartak Sharma,58.0
409,Rahul Verma,66.0
410,Kunal Gupta,55.0
411,Kavita Sharma,94.0
412,Simran Singh,91.0
413,Vivek Gupta,48.0
414,Prince Patel,43.0
415,Rahul Singh,80.0
416,Rahul Sharma,83.0
417,Shichan Patel,90.0
418,Karan Singh,80.0
419,Anjali Verma,93.0
420,Rahul Sharma,80.0
421,Vivek Verma,45.0
422,Aman Sharma,48.0
423,Sahil Verma,78.0
424,Aman Verma,70.0
425,Kavita Singh,78.0
426,Sneha Singh,74.0
427,Lalit Singh,91.0
428,Priya Patel,41.0
429,Sahil Gupta,60.0
430,Kunal Sharma,48.0
431,Rahul Verma,70.0
432,Simran Sharma,42.0
433,Aman Patel,55.0
434,Kavita Gupta,62.0
435,Harsh Singh,63.0
436,Sahil Verma,
437,Sahil Yadav,57.0
438,Akash Singh,61.0
439,Vivek Gupta,60.0
440,Shichan Patel,84.0
441,Vivek Verma,
442,Sneha Yadav,56.0
443,Kunal Yadav,53.0
444,Anjali Gupta,65.0
445,Harsh Gupta,83.0
446,Prince Gupta,79.0
447,Meena Gupta,55.0
448,Aditya Verma,91.0
449,Nobita Verma,93.0
450,Nobita Singh,47.0
451,Aditya Sharma,53.0
452,Nobita Patel,56.0
453,Anjali Sharma,53.0
454,Rohit Sharma,84.0
455,Nobita Singh,61.0
456,Harsh Verma,78.0
457,Ritika Singh,97.0
458,Vivek Sharma,70.0
459,Sahil Singh,65.0
460,Ritika Singh,45.0
461,Aman Patel,81.0
462,Aman Yadav,73.0
463,Krishna Verma,96.0
464,Sahil Singh,81.0
465,Prince Sharma,87.0
466,Rahul Patel,86.0
467,Krishna Sharma,82.0
468,Karan Sharma,
469,Krishna Gupta,70.0
470,Kunal Sharma,67.0
471,Priya Sharma,92.0
472,Sahil Yadav,59.0
473,Ankit Singh,84.0
474,Harsh Verma,45.0
475,Raj Patel,94.0
476,Lalit Verma,58.0
477,Rohit Yadav,73.0
478,Ankit Sharma,91.0
479,Rohit Yadav,65.0
480,Lalit Gupta,66.0
481,Krishna Sharma,68.0
482,Harsh Verma,47.0
483,Kunal Singh,
484,Nobita Yadav,83.0
485,Rohit Verma,54.0
486,Raj Gupta,62.0
487,Simran Yadav,81.0
488,Sahil Sharma,55.0
489,Simran Gupta,49.0
490,Aman Verma,74.0
491,Vivek Singh,63.0
492,Kunal Sharma,40.0
493,Vivek Verma,84.0
494,Meena Patel,
495,Raj Verma,44.0
496,Akash Verma,65.0
497,Ankit Yadav,72.0
498,Ritika Verma,75.0
499,Simran Yadav,77.0
500,Sneha Verma,97.0
501,Raj Patel,57.0
502,Nobita Patel,86.0
503,Prince Gupta,88.0
504,Sahil Yadav,55.0
505,Aman Yadav,53.0
506,Krishna Patel,86.0
507,Meena Sharma,83.0
508,Kavita Sharma,80.0
509,Simran Singh,64.0
510,Lalit Patel,100.0
511,Harsh Verma,52.0
512,Aditya Yadav,95.0
513,Raj Patel,91.0
514,Lalit Gupta,91.0
515,Raj Gupta,78.0
516,Nobita Singh,56.0
517,Lalit Singh,71.0
518,Harsh Singh,79.0
519,Simran Singh,61.0
520,Sartak Singh,54.0
521,Aman Yadav,46.0
522,Sahil Sharma,71.0
523,Karan Sharma,76.0
524,Prince Verma,58.0
525,Priya Yadav,100.0
526,Rohit Patel,48.0
527,Aman Sharma,88.0
528,Rohit Yadav,80.0
529,Rohit Yadav,53.0
530,Shichan Gupta,44.0
531,Rohit Verma,95.0
532,Ankit Sharma,
533,Nobita Gupta,80.0
534,Lalit Yadav,74.0
535,Ankit Gupta,66.0
536,Sneha Verma,
537,Kavita Yadav,96.0
538,Kavita Sharma,51.0
539,Aman Patel,60.0
540,Lalit Gupta,43.0
541,Akash Gupta,
542,Prince Singh,89.0
543,Meena Singh,48.0
544,Lalit Yadav,100.0
545,Rohit Singh,68.0
546,Sartak Singh,83.0
547,Meena Gupta,70.0
548,Raj Yadav,
549,Raj Singh,97.0
550,Kunal Gupta,51.0
551,Harsh Gupta,96.0
552,Nobita Gupta,45.0
553,Sartak Singh,83.0
554,Harsh Singh,97.0
555,Aman Sharma,70.0
556,Aditya Yadav,86.0
557,Karan Yadav,90.0
558,Kunal Yadav,73.0
559,Ritika Patel,81.0
560,Harsh Verma,90.0
561,Aman Patel,89.0
562,Ankit Verma,79.0
563,Sahil Sharma,48.0
564,Anjali Sharma,71.0
565,Ankit Yadav,41.0
566,Kavita Gupta,46.0
567,Nobita Yadav,41.0
568,Meena Sharma,45.0
569,Meena Patel,85.0
570,Aditya Sharma,45.0
571,Harsh Sharma,77.0
572,Harsh Yadav,81.0
573,Sahil Sharma,97.0
574,Prince Sharma,80.0
575,Aditya Patel,
576,Kunal Singh,
577,Ritika Singh,85.0
578,Sneha Yadav,77.0
579,Sahil Gupta,
580,Kunal Patel,92.0
581,Vivek Singh,61.0
582,Ankit Yadav,88.0
583,Krishna Sharma,52.0
584,Sartak Verma,74.0
585,Shichan Singh,44.0
586,Nobita Singh,43.0
587,Raj Gupta,45.0
588,Aditya Sharma,69.0
589,Kunal Patel,40.0
590,Sahil Gupta,84.0
591,Shichan Verma,81.0
592,Raj Verma,
593,Nobita Yadav,94.0
594,Ritika Sharma,75.0
595,Meena Singh,
596,Nobita Sharma,94.0
597,Lalit Gupta,65.0
598,Rahul Verma,60.0
599,Aman Singh,77.0
600,Vivek Yadav,50.0
601,Anjali Verma,42.0
602,Lalit Patel,60.0
603,Harsh Verma,50.0
604,Prince Singh,88.0
605,Harsh Singh,44.0
606,Priya Sharma,69.0
607,Simran Patel,85.0
608,Kavita Yadav,56.0
609,Lalit Yadav,73.0
610,Sahil Verma,98.0
611,Nobita Gupta,
612,Vivek Singh,88.0
613,Krishna Yadav,50.0
614,Harsh Yadav,57.0
615,Simran Gupta,76.0
616,Prince Patel,100.0
617,Kavita Gupta,58.0
618,Vivek Gupta,98.0
619,Kunal Verma,76.0
620,Kavita Verma,62.0
621,Anjali Verma,87.0
622,Aditya Yadav,98.0
623,Aditya Sharma,90.0
624,Lalit Patel,77.0
625,Anjali Sharma,82.0
626,Lalit Sharma,76.0
627,Krishna Verma,70.0
628,Sahil Gupta,90.0
629,Aman Yadav,53.0
630,Shichan Verma,80.0
631,Rahul Patel,46.0
632,Nobita Patel,73.0
633,Simran Sharma,42.0
634,Aman Singh,53.0
635,Karan Verma,69.0
636,Priya Yadav,56.0
637,Karan Singh,74.0
638,Simran Yadav,62.0
639,Akash Verma,98.0
640,Rohit Gupta,58.0
641,Rahul Verma,59.0
642,Harsh Sharma,69.0
643,Raj Sharma,45.0
644,Vivek Singh,75.0
645,Sahil Gupta,81.0
646,Raj Singh,88.0
647,Simran Yadav,77.0
648,Ritika Singh,43.0
649,Meena Patel,93.0
650,Anjali Yadav,90.0
651,Shichan Yadav,98.0
652,Harsh Yadav,92.0
653,Akash Sharma,76.0
654,Karan Yadav,59.0
655,Raj Gupta,61.0
656,Prince Gupta,43.0
657,Meena Yadav,77.0
658,Sartak Yadav,51.0
659,Lalit Yadav,77.0
660,Shichan Singh,
661,Aman Verma,67.0
662,Priya Yadav,43.0
663,Lalit Patel,93.0
664,Sahil Patel,48.0
665,Harsh Sharma,88.0
666,Prince Gupta,
667,Ritika Gupta,52.0
668,Kunal Singh,90.0
669,Simran Patel,53.0
670,Meena Verma,72.0
671,Simran Patel,70.0
672,Shichan Verma,52.0
673,Sneha Verma,60.0
674,Aman Yadav,96.0
675,Sartak Singh,44.0
676,Aman Gupta,81.0
677,Krishna Sharma,
678,Sahil Singh,60.0
679,Krishna Yadav,
680,Priya Gupta,42.0
681,Akash Singh,72.0
682,Anjali Patel,
683,Krishna Sharma,61.0
684,Simran Sharma,93.0
685,Priya Yadav,43.0
686,Aman Gupta,
687,Harsh Yadav,51.0
688,Ritika Yadav,93.0
689,Aditya Verma,57.0
690,Karan Patel,68.0
691,Aman Yadav,94.0
692,Raj Gupta,53.0
693,Lalit Verma,90.0
694,Aditya Singh,57.0
695,Nobita Yadav,
696,Sneha Singh,81.0
697,Lalit Sharma,88.0
698,Lalit Singh,100.0
699,Meena Gupta,63.0
700,Meena Sharma,44.0
701,Aman Verma,67.0
702,Karan Singh,66.0
703,Akash Singh,97.0
704,Aditya Patel,67.0
705,Sneha Sharma,74.0
706,Kunal Yadav,66.0
707,Anjali Sharma,94.0
708,Anjali Singh,95.0
709,Simran Sharma,63.0
710,Priya Singh,64.0
711,Sartak Sharma,68.0
712,Ritika Singh,91.0
713,Karan Patel,75.0
714,Ritika Patel,81.0
715,Nobita Patel,55.0
716,Karan Verma,57.0
717,Rahul Patel,49.0
718,Rahul Sharma,48.0
719,Sahil Verma,65.0
720,Sartak Patel,99.0
721,Sneha Singh,58.0
722,Karan Yadav,
723,Nobita Patel,63.0
724,Aditya Yadav,
725,Raj Sharma,51.0
726,Rohit Singh,98.0
727,Lalit Yadav,87.0
728,Akash Sharma,58.0
729,Rohit Singh,83.0
730,Anjali Verma,100.0
731,Ritika Singh,43.0
732,Sneha Verma,94.0
733,Vivek Sharma,41.0
734,Meena Verma,73.0
735,Rahul Patel,51.0
736,Sartak Singh,94.0
737,Rahul Singh,90.0
738,Aman Singh,73.0
739,Harsh Yadav,73.0
740,Harsh Gupta,79.0
741,Sahil Patel,53.0
742,Lalit Singh,89.0
743,Lalit Sharma,62.0
744,Meena Gupta,57.0
745,Ritika Sharma,52.0
746,Sartak Yadav,76.0
747,Krishna Sharma,60.0
748,Ankit Yadav,85.0
749,Harsh Sharma,67.0
750,Aman Yadav,73.0
751,Nobita Patel,72.0
752,Harsh Sharma,77.0
753,Akash Verma,91.0
754,Krishna Gupta,
755,Harsh Gupta,79.0
756,Kunal Patel,56.0
757,Rohit Singh,98.0
758,Prince Yadav,43.0
759,Akash Singh,83.0
760,Karan Gupta,67.0
761,Krishna Patel,77.0
762,Sartak Yadav,63.0
763,Akash Verma,100.0
764,Lalit Sharma,63.0
765,Shichan Patel,49.0
766,Shichan Verma,43.0
767,Kunal Patel,59.0
768,Karan Yadav,54.0
769,Ritika Gupta,83.0
770,Sahil Patel,
771,Vivek Yadav,59.0
772,Kavita Verma,46.0
773,Simran Yadav,100.0
774,Kunal Patel,63.0
775,Lalit Yadav,89.0
776,Ritika Patel,57.0
777,Ankit Gupta,42.0
778,Anjali Verma,82.0
779,Meena Sharma,78.0
780,Lalit Yadav,
781,Lalit Singh,51.0
782,Rahul Patel,69.0
783,Sartak Sharma,69.0
784,Akash Gupta,98.0
785,Aman Singh,77.0
786,Prince Singh,44.0
787,Harsh Patel,79.0
788,Rohit Singh,69.0
789,Ankit Singh,100.0
790,Meena Sharma,81.0
791,Rohit Verma,98.0
792,Sahil Verma,78.0
793,Krishna Gupta,55.0
794,Shichan Sharma,94.0
795,Sahil Singh,43.0
796,Karan Verma,44.0
797,Aditya Sharma,70.0
798,Simran Singh,64.0
799,Kavita Patel,96.0
800,Kavita Gupta,62.0
801,Aditya Verma,
802,Rahul Gupta,82.0
803,Sahil Sharma,86.0
804,Rohit Sharma,68.0
805,Harsh Yadav,56.0
806,Sahil Verma,81.0
807,Simran Singh,66.0
808,Aman Gupta,50.0
809,Rohit Gupta,100.0
810,Harsh Sharma,
811,Vivek Sharma,69.0
812,Sartak Patel,65.0
813,Kunal Yadav,87.0
814,Simran Sharma,70.0
815,Priya Yadav,94.0
816,Ankit Verma,
817,Sahil Verma,56.0
818,Kunal Singh,52.0
819,Rohit Patel,49.0
820,Sneha Gupta,84.0
821,Ankit Verma,50.0
822,Ankit Patel,64.0
823,Anjali Yadav,52.0
824,Rahul Patel,93.0
825,Simran Singh,81.0
826,Priya Sharma,97.0
827,Simran Sharma,86.0
828,Kunal Verma,80.0
829,Sneha Gupta,46.0
830,Raj Sharma,75.0
831,Aditya Singh,
832,Kunal Patel,45.0
833,Akash Yadav,68.0
834,Kunal Singh,43.0
835,Aditya Gupta,98.0
836,Aman Sharma,99.0
837,Ritika Yadav,65.0
838,Shichan Patel,50.0
839,Aditya Gupta,84.0
840,Karan Patel,60.0
841,Simran Patel,59.0
842,Anjali Yadav,56.0
843,Rahul Yadav,85.0
844,Lalit Gupta,65.0
845,Ankit Singh,89.0
846,Sneha Verma,55.0
847,Kunal Gupta,91.0
848,Shichan Yadav,
849,Aditya Yadav,42.0
850,Priya Yadav,98.0
851,Sneha Patel,81.0
852,Raj Sharma,67.0
853,Aditya Singh,77.0
854,Sahil Gupta,79.0
855,Vivek Yadav,84.0
856,Prince Patel,53.0
857,Krishna Yadav,71.0
858,Kunal Verma,87.0
859,Aditya Verma,99.0
860,Rahul Verma,79.0
861,Sneha Gupta,95.0
862,Ankit Yadav,41.0
863,Akash Yadav,60.0
864,Vivek Yadav,42.0
865,Aman Verma,56.0
866,Vivek Verma,41.0
867,Sahil Sharma,86.0
868,Lalit Sharma,
869,Sneha Patel,92.0
870,Akash Sharma,85.0
871,Sneha Singh,56.0
872,Prince Gupta,87.0
873,Nobita Sharma,43.0
874,Sartak Gupta,54.0
875,Sahil Gupta,54.0
876,Ankit Verma,57.0
877,Ankit Verma,89.0
878,Sahil Sharma,
879,Sartak Singh,80.0
880,Vivek Yadav,74.0
881,Kavita Gupta,53.0
882,Aditya Yadav,41.0
883,Krishna Patel,44.0
884,Ritika Gupta,
885,Priya Verma,75.0
886,Raj Gupta,97.0
887,Krishna Patel,94.0
888,Sartak Gupta,44.0
889,Karan Verma,71.0
890,Shichan Sharma,83.0
891,Ankit Gupta,41.0
892,Sahil Patel,97.0
893,Anjali Patel,96.0
894,Akash Gupta,
895,Ritika Gupta,45.0
896,Krishna Verma,100.0
897,Raj Singh,56.0
898,Sneha Yadav,69.0
899,Prince Verma,74.0
900,Ankit Singh,64.0
901,Nobita Patel,45.0
902,Priya Sharma,64.0
903,Raj Sharma,76.0
904,Sneha Gupta,75.0
905,Krishna Verma,79.0
906,Raj Singh,93.0
907,Shichan Yadav,56.0
908,Sahil Sharma,79.0
909,Karan Verma,47.0
910,Anjali Sharma,73.0
911,Harsh Gupta,48.0
912,Vivek Patel,79.0
913,Sneha Patel,72.0
914,Nobita Patel,60.0
915,Ritika Patel,52.0
916,Priya Yadav,49.0
917,Krishna Patel,98.0
918,Sneha Yadav,66.0
919,Vivek Patel,45.0
920,Sneha Sharma,87.0
921,Akash Singh,100.0
922,Anjali Singh,93.0
923,Karan Verma,76.0
924,Meena Verma,46.0
925,Sneha Patel,56.0
926,Lalit Verma,79.0
927,Kunal Verma,48.0
928,Simran Sharma,86.0
929,Nobita Sharma,83.0
930,Rahul Verma,83.0
931,Harsh Singh,
932,Sahil Sharma,61.0
933,Sahil Gupta,88.0
934,Vivek Gupta,98.0
935,Rohit Verma,
936,Sneha Patel,57.0
937,Harsh Singh,97.0
938,Harsh Singh,61.0
939,Rohit Singh,96.0
940,Ritika Patel,98.0
941,Kunal Singh,
942,Aman Gupta,73.0
943,Sahil Sharma,95.0
944,Aman Gupta,64.0
945,Priya Yadav,45.0
946,Anjali Sharma,95.0
947,Ritika Sharma,77.0
948,Ritika Patel,92.0
949,Sahil Yadav,65.0
950,Nobita Verma,66.0
951,Raj Verma,47.0
952,Nobita Gupta,98.0
953,Anjali Singh,95.0
954,Kunal Sharma,58.0
955,Rahul Gupta,
956,Rohit Sharma,86.0
957,Meena Verma,99.0
958,Rohit Gupta,94.0
959,Sartak Sharma,47.0
960,Meena Yadav,60.0
961,Vivek Yadav,95.0
962,Sneha Gupta,54.0
963,Priya Gupta,76.0
964,Vivek Gupta,54.0
965,Aditya Verma,
966,Shichan Gupta,82.0
967,Simran Yadav,
968,Krishna Patel,96.0
969,Prince Patel,80.0
970,Karan Yadav,67.0
971,Vivek Gupta,57.0
972,Krishna Gupta,65.0
973,Akash Yadav,58.0
974,Harsh Verma,91.0
975,Shichan Verma,95.0
976,Kavita Sharma,58.0
977,Sartak Yadav,82.0
978,Ankit Yadav,46.0
979,Sartak Patel,
980,Simran Yadav,88.0
981,Kunal Yadav,53.0
982,Meena Gupta,76.0
983,Shichan Patel,41.0
984,Anjali Patel,43.0
985,Sartak Verma,73.0
986,Lalit Patel,41.0
987,Ritika Patel,89.0
988,Simran Yadav,73.0
989,Raj Verma,87.0
990,Akash Gupta,87.0
991,Aman Patel,64.0
992,Aditya Yadav,60.0
993,Anjali Singh,49.0
994,Simran Gupta,59.0
995,Aman Gupta,
996,Simran Sharma,93.0
997,Lalit Singh,72.0
998,Krishna Yadav,
999,Krishna Verma,49.0
1000,Lalit Yadav,83.0
